Player,Show,Role,Oneshot,Link
Felicia Day,Red Nose Day Game - D&D Live 2020,Player,Yes,https://www.youtube.com/watch?v=YmQO8axrQ5M
Brett Gelman,Red Nose Day Game - D&D Live 2020,Player,Yes,https://www.youtube.com/watch?v=YmQO8axrQ5M
Maitreyi Ramakrishnan,Red Nose Day Game - D&D Live 2020,Player,Yes,https://www.youtube.com/watch?v=YmQO8axrQ5M
Martin Starr,Red Nose Day Game - D&D Live 2020,Player,Yes,https://www.youtube.com/watch?v=YmQO8axrQ5M
,,,,
Deborah Ann Woll,D&D LIVE 2020 ROLL W/ ADVANTAGE,DM,Yes,https://dnd.wizards.com/dndlive2020_schedule
Amy Acker,D&D LIVE 2020 ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Jay Ellis,D&D LIVE 2020 ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Janina Gavankar,D&D LIVE 2020 ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Matthew Lillard,D&D LIVE 2020 ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Sam Richardson,D&D LIVE 2020 ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
,,,,
Thomas Middleditch,Comedians Play D&D  ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Sue Perkins,Comedians Play D&D  ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Brian Posehn,Comedians Play D&D  ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Kevin Sussman,Comedians Play D&D  ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
,,,,
Chris Perkins,Lost Odyssey Heroes Game   ROLL W/ ADVANTAGE,DM,Yes,https://dnd.wizards.com/dndlive2020_schedule
Karen Gillan,Lost Odyssey Heroes Game   ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
David Harbour,Lost Odyssey Heroes Game   ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Pom Klementieff,Lost Odyssey Heroes Game   ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
